professor_name,school_name,department_name,local_name,state_name,year_since_first_review,star_rating,take_again,diff_index,tag_professor,num_student,post_date,name_onlines,name_not_onlines,student_star,student_difficult,attence,for_credits,would_take_agains,grades,help_useful,help_not_useful,comments
Leslie  Looney,University Of Illinois at Urbana-Champaign,Astronomy department, Champaign\xe2\x80\x93Urbana, IL,11.0,4.7,,2.0,Hilarious (2)  GROUP PROJECTS (2)  Gives good feedback (1),26.0,06/27/2017,NAN,ASTR122,5.0,3.0,Mandatory,Yes,Yes,B,0.0,0.0,"This class is hard, but its a two-in-one gen-ed knockout, and the content is very stimulating. Unlike most classes, you have to actually participate to pass. Sections are easy and offer extra credit every week. Very funny dude. Not much more I can say."
Leslie  Looney,University Of Illinois at Urbana-Champaign,Astronomy department, Champaign\xe2\x80\x93Urbana, IL,11.0,4.7,,2.0,Hilarious (2)  GROUP PROJECTS (2)  Gives good feedback (1),26.0,04/16/2017,NAN,ASTR122,5.0,2.0,Not Mandatory,,Yes,A+,0.0,0.0,Definitely going to choose Prof. Looney\'s class again! Interesting class and easy A. You can bring notes to exams so you don\'t need to remember a lot. Lots of bonus points available and the observatory sessions are awesome!
Leslie  Looney,University Of Illinois at Urbana-Champaign,Astronomy department, Champaign\xe2\x80\x93Urbana, IL,11.0,4.7,,2.0,Hilarious (2)  GROUP PROJECTS (2)  Gives good feedback (1),26.0,12/07/2016,NAN,ASTR330,4.0,3.0,,Yes,Yes,,0.0,0.0,I overall enjoyed this class because the assignments were straightforward and interesting. I just didn\'t enjoy the video project because I felt like no one in my group cared enough to help.
Leslie  Looney,University Of Illinois at Urbana-Champaign,Astronomy department, Champaign\xe2\x80\x93Urbana, IL,11.0,4.7,,2.0,Hilarious (2)  GROUP PROJECTS (2)  Gives good feedback (1),26.0,12/08/2014,NAN,ASTR1008WKS,5.0,3.0,Mandatory,Yes,,A,0.0,0.0,"Yes, it\'s possible to get an A but you\'ll definitely have to work for it. The content is pretty interesting, but you have tog get super organized in this class. You\'ll have multiple things due every week and a ton lectures to go over. If possible, I\'d avoid this class as an 8 week course. You\'ll definitely always have somethingto do in this class."
Leslie  Looney,University Of Illinois at Urbana-Champaign,Astronomy department, Champaign\xe2\x80\x93Urbana, IL,11.0,4.7,,2.0,Hilarious (2)  GROUP PROJECTS (2)  Gives good feedback (1),26.0,05/02/2014,NAN,ASTR150,5.0,1.0,Mandatory,,,,0.0,0.0,"Professor Looney has great knowledge in Astronomy, while he can explain them in a super easy way in an elementary class. He taught this class with great passion and great illustration. This class is definitely fun to take. If you are interested in further knowledge that this class won\'t cover, don\'t hesitate to ask him. Great teacher."
Leslie  Looney,University Of Illinois at Urbana-Champaign,Astronomy department, Champaign\xe2\x80\x93Urbana, IL,11.0,4.7,,2.0,Hilarious (2)  GROUP PROJECTS (2)  Gives good feedback (1),26.0,12/14/2013,NAN,ASTR150,5.0,2.0,,,,,0.0,0.0,"Looney is a super funny guy and this class was really interesting. It wasn\'t a complete blow off, but it wasn\'t too bad. Just do all the homework/observation sessions and study a bit the night before exams and you should pull an A. I would definitely recommend him for a science gen ed. There was no text book and no final."
Leslie  Looney,University Of Illinois at Urbana-Champaign,Astronomy department, Champaign\xe2\x80\x93Urbana, IL,11.0,4.7,,2.0,Hilarious (2)  GROUP PROJECTS (2)  Gives good feedback (1),26.0,11/06/2013,NAN,ASTR150,5.0,2.0,Mandatory,,,,0.0,1.0,"Professor Looney is the BOMB. He is a truly good teacher, and really explains material thoroughly. He is also absolutely hilarious and makes me laugh every class. I would highly recommend him and this course to anyone - I am far from a science-lover, but this class has helped me enjoy, I repeat, ENJOY science!!"
Leslie  Looney,University Of Illinois at Urbana-Champaign,Astronomy department, Champaign\xe2\x80\x93Urbana, IL,11.0,4.7,,2.0,Hilarious (2)  GROUP PROJECTS (2)  Gives good feedback (1),26.0,11/06/2013,NAN,ASTRO150,5.0,2.0,,,,,0.0,0.0,"Professor Leslie Looney is honestly amazing. I would call this my first positive experience with a science class! In addition to being truly GOOD at teaching, he makes class interesting. I literally lol almost every period. LOONEY FOREVER!!!"
Leslie  Looney,University Of Illinois at Urbana-Champaign,Astronomy department, Champaign\xe2\x80\x93Urbana, IL,11.0,4.7,,2.0,Hilarious (2)  GROUP PROJECTS (2)  Gives good feedback (1),26.0,07/23/2011,NAN,ASTR150,5.0,1.0,,,,,0.0,0.0,Looney is a beast. Best prof on campus and this class is extremely interesting. It is the easiest astronomy and physical science class you will find.
Leslie  Looney,University Of Illinois at Urbana-Champaign,Astronomy department, Champaign\xe2\x80\x93Urbana, IL,11.0,4.7,,2.0,Hilarious (2)  GROUP PROJECTS (2)  Gives good feedback (1),26.0,04/12/2011,NAN,ASTR150,5.0,2.0,,,,,0.0,0.0,"The homework, exams, and lab could trip you up if you\'re expecting a blow-off class, but otherwise its great. Looney is very enthusiastic and the course is full of interesting content"
